File: pprof_server
Build ID: 717c6d56ceac23ba68289f07b96462c920041c39
Type: cpu
Time: 2026-01-12 21:38:17 CST
Duration: 30.10s, Total samples = 78.37s (260.32%)
Showing nodes accounting for 58.59s, 74.76% of 78.37s total
Dropped 653 nodes (cum <= 0.39s)
      flat  flat%   sum%        cum   cum%
     0.08s   0.1% 71.47%      3.07s  3.92%  runtime.newarray
     0.08s   0.1% 71.57%     11.21s 14.30%  syscall.write
     0.07s 0.089% 71.66%      1.33s  1.70%  github.com/google/uuid.NewRandom
     0.07s 0.089% 71.75%      1.71s  2.18%  internal/poll.(*FD).SetsockoptInt
     0.07s 0.089% 71.84%      1.32s  1.68%  net/http.(*connReader).backgroundRead
     0.07s 0.089% 71.93%      0.55s   0.7%  runtime.mapIterStart
     0.06s 0.077% 72.00%      8.35s 10.65%  github.com/dministrator/flow/pkg/flow.MetricsMiddleware.func1.1
     0.06s 0.077% 72.08%      4.86s  6.20%  net.(*netFD).accept
     0.06s 0.077% 72.16%      7.51s  9.58%  net/http.(*Server).Serve
     0.06s 0.077% 72.23%      0.96s  1.22%  runtime.SetFinalizer
     0.06s 0.077% 72.31%      0.75s  0.96%  runtime.newproc1
     0.06s 0.077% 72.39%      0.40s  0.51%  runtime.wbBufFlush1
     0.05s 0.064% 72.45%      2.25s  2.87%  internal/poll.setDeadlineImpl
     0.05s 0.064% 72.51%     11.64s 14.85%  net/http.checkConnErrorWriter.Write
     0.05s 0.064% 72.58%      1.14s  1.45%  runtime.(*unwinder).next
     0.05s 0.064% 72.64%      5.07s  6.47%  syscall.read
     0.04s 0.051% 72.69%      0.79s  1.01%  context.WithCancel.func1
     0.04s 0.051% 72.74%      1.10s  1.40%  crypto/internal/sysrand.Read
     0.04s 0.051% 72.80%      3.83s  4.89%  github.com/dministrator/flow/pkg/flow.(*Router).Get.func1
     0.04s 0.051% 72.85%     12.15s 15.50%  internal/poll.(*FD).decref
     0.04s 0.051% 72.90%      0.96s  1.22%  internal/syscall/unix.GetRandom
     0.04s 0.051% 72.95%      1.51s  1.93%  net.(*conn).SetReadDeadline
     0.04s 0.051% 73.00%     11.84s 15.11%  net/http.serverHandler.ServeHTTP
     0.04s 0.051% 73.05%      0.70s  0.89%  net/url.parse
     0.04s 0.051% 73.10%      0.93s  1.19%  runtime.newproc
     0.04s 0.051% 73.15%     26.82s 34.22%  syscall.Syscall
     0.03s 0.038% 73.19%      1.18s  1.51%  crypto/rand.(*reader).Read
     0.03s 0.038% 73.23%      0.47s   0.6%  fmt.Sprintf
     0.03s 0.038% 73.27%     11.64s 14.85%  github.com/dministrator/flow/pkg/flow.RequestIDMiddleware.func1.1
     0.03s 0.038% 73.31%     12.08s 15.41%  internal/poll.(*FD).Close
     0.03s 0.038% 73.34%      9.82s 12.53%  internal/poll.(*SysFile).destroy (inline)
     0.03s 0.038% 73.38%      3.10s  3.96%  internal/runtime/maps.(*Map).growToSmall
     0.03s 0.038% 73.42%      1.21s  1.54%  io.ReadAtLeast
     0.03s 0.038% 73.46%      3.71s  4.73%  main.main.func2
     0.03s 0.038% 73.50%      0.57s  0.73%  net.(*TCPAddr).String
     0.03s 0.038% 73.54%      1.23s  1.57%  net.(*TCPConn).SetKeepAliveConfig
     0.03s 0.038% 73.57%     11.56s 14.75%  net.(*netFD).Write
     0.03s 0.038% 73.61%      1.84s  2.35%  net.newTCPConn
     0.03s 0.038% 73.65%      0.55s   0.7%  net.setNoDelay
     0.03s 0.038% 73.69%      0.75s  0.96%  runtime.gcDrainN
     0.03s 0.038% 73.73%      0.48s  0.61%  runtime.gdestroy
     0.03s 0.038% 73.77%      0.58s  0.74%  runtime.heapSetTypeNoHeader (inline)
     0.03s 0.038% 73.80%      0.73s  0.93%  runtime.lock (inline)
     0.03s 0.038% 73.84%      4.05s  5.17%  runtime.park_m
     0.02s 0.026% 73.87%      2.47s  3.15%  internal/poll.(*FD).Accept
     0.02s 0.026% 73.89%      2.09s  2.67%  internal/poll.(*pollDesc).close (inline)
     0.02s 0.026% 73.92%     16.44s 20.98%  internal/poll.ignoringEINTRIO (inline)
     0.02s 0.026% 73.94%      1.40s  1.79%  internal/poll.runtime_pollOpen
     0.02s 0.026% 73.97%      6.72s  8.57%  net.(*TCPListener).accept
     0.02s 0.026% 74.00%     12.88s 16.43%  net/http.(*conn).close
     0.02s 0.026% 74.02%      0.65s  0.83%  net/http.(*connReader).startBackgroundRead
     0.02s 0.026% 74.05%      3.47s  4.43%  net/http.(*response).WriteHeader
     0.02s 0.026% 74.07%      0.80s  1.02%  net/http.Header.Set (inline)
     0.02s 0.026% 74.10%      0.73s  0.93%  net/url.ParseRequestURI
     0.02s 0.026% 74.12%      0.89s  1.14%  runtime.(*mcache).nextFree
     0.02s 0.026% 74.15%      0.44s  0.56%  runtime.SetFinalizer.func1
     0.02s 0.026% 74.17%      1.09s  1.39%  runtime.deductAssistCredit
     0.02s 0.026% 74.20%      0.74s  0.94%  runtime.lockWithRank (inline)
     0.02s 0.026% 74.22%      2.04s  2.60%  runtime.netpollclose
     0.02s 0.026% 74.25%      0.42s  0.54%  runtime.removefinalizer
     0.02s 0.026% 74.28%      9.79s 12.49%  syscall.Close
     0.02s 0.026% 74.30%      5.09s  6.49%  syscall.Read (inline)
     0.02s 0.026% 74.33%      3.88s  4.95%  syscall.Syscall6
     0.02s 0.026% 74.35%     11.23s 14.33%  syscall.Write (inline)
     0.02s 0.026% 74.38%      1.56s  1.99%  syscall.setsockopt
     0.01s 0.013% 74.39%      2.03s  2.59%  bufio.(*Reader).ReadLine
     0.01s 0.013% 74.40%      1.19s  1.52%  context.WithCancel
     0.01s 0.013% 74.42%      3.93s  5.01%  github.com/dministrator/flow/internal/router.(*Router).ServeHTTP.func1
     0.01s 0.013% 74.43%      3.48s  4.44%  github.com/dministrator/flow/pkg/flow.(*Context).Status (inline)
     0.01s 0.013% 74.44%      1.41s  1.80%  internal/poll.(*FD).Init
     0.01s 0.013% 74.45%      0.41s  0.52%  internal/poll.(*pollDesc).wait
     0.01s 0.013% 74.47%      0.42s  0.54%  internal/poll.(*pollDesc).waitRead (inline)
     0.01s 0.013% 74.48%      2.40s  3.06%  internal/poll.accept
     0.01s 0.013% 74.49%      6.73s  8.59%  net.(*TCPListener).Accept
     0.01s 0.013% 74.51%     12.62s 16.10%  net.(*conn).Close
     0.01s 0.013% 74.52%     12.61s 16.09%  net.(*netFD).Close
     0.01s 0.013% 74.53%      0.45s  0.57%  net.(*netFD).setAddr (inline)
     0.01s 0.013% 74.54%      2.40s  3.06%  net/http.(*chunkWriter).close
     0.01s 0.013% 74.56%      0.78s     1%  net/http.(*conn).readRequest.func1
     0.01s 0.013% 74.57%      2.49s  3.18%  net/textproto.(*Reader).ReadLine (inline)
     0.01s 0.013% 74.58%      0.46s  0.59%  net/textproto.MIMEHeader.Get
     0.01s 0.013% 74.59%      0.78s     1%  net/textproto.MIMEHeader.Set (inline)
     0.01s 0.013% 74.61%      0.75s  0.96%  runtime.(*mcache).refill
     0.01s 0.013% 74.62%      0.43s  0.55%  runtime.(*timer).maybeAdd
     0.01s 0.013% 74.63%      2.41s  3.08%  runtime.copystack
     0.01s 0.013% 74.65%      0.78s     1%  runtime.entersyscall
     0.01s 0.013% 74.66%      0.64s  0.82%  runtime.funcspdelta (inline)
     0.01s 0.013% 74.67%      1.13s  1.44%  runtime.futexwakeup
     0.01s 0.013% 74.68%      0.60s  0.77%  runtime.injectglist.func1
     0.01s 0.013% 74.70%      0.40s  0.51%  runtime.makemap
     0.01s 0.013% 74.71%      0.87s  1.11%  runtime.newproc.func1
     0.01s 0.013% 74.72%      0.69s  0.88%  runtime.scanstack
     0.01s 0.013% 74.74%      0.76s  0.97%  runtime.unlock (inline)
     0.01s 0.013% 74.75%      0.41s  0.52%  runtime.unlock2Wake
     0.01s 0.013% 74.76%      2.39s  3.05%  syscall.Accept4
         0     0% 74.76%      0.99s  1.26%  context.withCancel (inline)
         0     0% 74.76%      1.01s  1.29%  crypto/internal/sysrand.read
         0     0% 74.76%      7.51s  9.58%  github.com/dministrator/flow/pkg/flow.(*App).Start.func1
         0     0% 74.76%      1.34s  1.71%  github.com/google/uuid.New (inline)
         0     0% 74.76%      1.26s  1.61%  github.com/google/uuid.NewRandomFromReader
         0     0% 74.76%      1.47s  1.88%  internal/poll.(*FD).SetReadDeadline (inline)
         0     0% 74.76%      0.78s     1%  internal/poll.(*FD).SetWriteDeadline (inline)
         0     0% 74.76%     11.96s 15.26%  internal/poll.(*FD).destroy
         0     0% 74.76%      1.40s  1.79%  internal/poll.(*pollDesc).init
         0     0% 74.76%      2.07s  2.64%  internal/poll.runtime_pollClose
         0     0% 74.76%      3.07s  3.92%  internal/runtime/maps.newGroups (inline)
         0     0% 74.76%      3.07s  3.92%  internal/runtime/maps.newarray
         0     0% 74.76%      3.34s  4.26%  internal/runtime/syscall.EpollCtl (inline)
         0     0% 74.76%      1.58s  2.02%  internal/runtime/syscall.EpollWait
         0     0% 74.76%      1.21s  1.54%  io.ReadFull (inline)
         0     0% 74.76%      0.78s     1%  net.(*conn).SetWriteDeadline
         0     0% 74.76%     11.56s 14.75%  net.(*conn).Write
         0     0% 74.76%      1.47s  1.88%  net.(*netFD).SetReadDeadline (inline)
         0     0% 74.76%      0.78s     1%  net.(*netFD).SetWriteDeadline (inline)
         0     0% 74.76%      1.41s  1.80%  net.(*netFD).init (inline)
         0     0% 74.76%      0.45s  0.57%  net.setKeepAliveIdle
         0     0% 74.76%      7.51s  9.58%  net/http.(*Server).ListenAndServe
         0     0% 74.76%      0.46s  0.59%  net/http.Header.Get (inline)
         0     0% 74.76%      0.82s  1.05%  net/http.Header.WriteSubset (inline)
         0     0% 74.76%      2.33s  2.97%  net/textproto.(*Reader).ReadMIMEHeader (inline)
         0     0% 74.76%      0.49s  0.63%  runtime.futexsleep
         0     0% 74.76%      0.96s  1.22%  runtime.gcAssistAlloc
         0     0% 74.76%      0.82s  1.05%  runtime.gcAssistAlloc.func2
         0     0% 74.76%      0.82s  1.05%  runtime.gcAssistAlloc1
         0     0% 74.76%      1.64s  2.09%  runtime.gcBgMarkWorker
         0     0% 74.76%      1.53s  1.95%  runtime.gcBgMarkWorker.func2
         0     0% 74.76%      1.53s  1.95%  runtime.gcDrain
         0     0% 74.76%      1.52s  1.94%  runtime.gcDrainMarkWorkerDedicated (inline)
         0     0% 74.76%      1.75s  2.23%  runtime.goexit0
         0     0% 74.76%      0.71s  0.91%  runtime.injectglist
         0     0% 74.76%      0.95s  1.21%  runtime.markroot
         0     0% 74.76%      0.88s  1.12%  runtime.markroot.func1
         0     0% 74.76%      1.32s  1.68%  runtime.netpollopen
         0     0% 74.76%      2.61s  3.33%  runtime.newstack
         0     0% 74.76%      0.73s  0.93%  runtime.notewakeup
         0     0% 74.76%      0.54s  0.69%  runtime.pcdatavalue
         0     0% 74.76%      0.40s  0.51%  runtime.semawakeup (inline)
         0     0% 74.76%      0.65s  0.83%  runtime.startm
         0     0% 74.76%      0.75s  0.96%  runtime.unlockWithRank (inline)
         0     0% 74.76%      0.40s  0.51%  runtime.wbBufFlush
         0     0% 74.76%      0.40s  0.51%  runtime.wbBufFlush.func1
         0     0% 74.76%      1.56s  1.99%  syscall.SetsockoptInt (inline)
         0     0% 74.76%      2.34s  2.99%  syscall.accept4
